,hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg_x,tissue_areal_density_mg_per_cm2
8842,HP40-1408,HP40-20231128,,Spent230928-1-D28-4,Spent230928-1-D28-4_2,,,0.022174959,,,,,
8846,HP40-1409,HP40-20231128,,Spent230928-1-D28-4,Spent230928-1-D28-4_3,,,0.021616708,,,,,
8862,HP40-1410,HP40-20231128,,FreshTGFBS231012G-1,FreshTGFBS231012G-1_1,,,0.00608776,,,,,
8866,HP40-1411,HP40-20231128,,FreshTGFBS231012G-1,FreshTGFBS231012G-1_2,,,0.006491892,,,,,
8870,HP40-1412,HP40-20231128,,FreshTGFBS231012G-1,FreshTGFBS231012G-1_3,,,0.006188793,,,,,
8874,HP40-1413,HP40-20231128,,FreshTGFBS231012G-2,FreshTGFBS231012G-2_1,,,0.005304437,,,,,
8878,HP40-1414,HP40-20231128,,FreshTGFBS231012G-2,FreshTGFBS231012G-2_2,,,0.005405469,,,,,
8882,HP40-1415,HP40-20231128,,FreshTGFBS231012G-2,FreshTGFBS231012G-2_3,,,0.005405469,,,,,
8886,HP40-1416,HP40-20231128,,FreshTGFBS231012G-3,FreshTGFBS231012G-3_1,,,0.005748981,,,,,
8890,HP40-1417,HP40-20231128,,FreshTGFBS231012G-3,FreshTGFBS231012G-3_2,,,0.005748981,,,,,
8894,HP40-1418,HP40-20231128,,FreshTGFBS231012G-3,FreshTGFBS231012G-3_3,,,0.005809601,,,,,
8898,HP40-1419,HP40-20231128,,FreshTGFBS231012G-4,FreshTGFBS231012G-4_1,,,0.007401187,,,,,
8902,HP40-1420,HP40-20231128,,FreshTGFBS231012G-4,FreshTGFBS231012G-4_2,,,0.007401187,,,,,
8906,HP40-1421,HP40-20231128,,FreshTGFBS231012G-4,FreshTGFBS231012G-4_3,,,0.007199122,,,,,
8922,HP40-1422,HP40-20231128,,Hyp0.05mg_mL-1,Hyp0.05mg_mL-1_1,,,0.046793777,,,,,
